race,category,bib,name,id,place,catPlace,sexPlace,sex,age,team,netTime
10KM,10KM - ATE 59 ANOS - FEMININO,440,3d16d43c9c24f7d6f9fa79ca6ea83834a4c57481,3f277c192f29ea2ebe4cac94a8a71e16c6830003,6,1,1,F,32,Float squad,00:47:54.783
10KM,10KM - ATE 59 ANOS - FEMININO,441,da5a6ad901c1271f94610128ed7872fd8504fb6f,ac287cde1202c6a67688bf1d18234965389ec285,18,4,4,F,32,não tem,01:02:26.641
10KM,10KM - ATE 59 ANOS - FEMININO,442,6a78420af1facae739be1b634a8220c11a2170ac,f777bcc818062bd95888cd30b54ae2e830a8befd,146,70,71,F,50,,01:40:32.893
10KM,10KM - ATE 59 ANOS - FEMININO,443,f1fcdaaf12ebf398ce63de6a40bd25e6c9bb6779,1a065ff37ba45cc2b4252d9d344ecc1e0c10d338,119,53,54,F,31,,01:33:05.299
10KM,10KM - ATE 59 ANOS - FEMININO,445,1093008a7a24c84234c1b92d316718316f651ea1,b76b572bfc12b1a9c8872dcf55db25c5af4d620a,36,6,6,F,34,Milk,01:11:15.887
21KM,21KM - ATE 59 ANOS - FEMININO,446,0bae121c87b20e6108e0d0d392a7fe0ba14dfa00,45f67ea3752dbd326f607414f833ad88846934a6,155,1,77,F,37,TENISCERTO,01:44:57.248
10KM,10KM - ATE 59 ANOS - MASCULINO,447,94c860fe63f191baf7b5bd00c608a91d1364f933,d7f842059c273d60baada9c5d70f26432272fe6e,23,19,19,M,34,-,01:03:38.990
10KM,10KM - ATE 59 ANOS - MASCULINO,448,e18cfe12293890e57e61dd91e0d0071647fda5ab,b3b9e7f92ecd389625dfcfe5af99d00b564b9a17,128,24,68,M,45,,01:34:51.759
10KM,10KM - ATE 59 ANOS - MASCULINO,449,78feae468c336b61e29a62541af91fd290b52f3d,140ecf597f2526a1414dbd69ec4bb40842b6d4c9,108,18,60,M,41,,01:29:17.177
10KM,10KM - ATE 59 ANOS - MASCULINO,450,ca118c9935445b9fd19b8c2094e68a318b19aaa3,9dbcd97ffd44ab67919caa5e11a0dab2d60dee15,41,31,32,M,52,Dakra,01:12:56.846
10KM,10KM - ATE 59 ANOS - MASCULINO,451,5814cb4b1cb883b5c48ea1adcbc307f8993f91f4,e7f6692c77dfece664ca5a91230bd570d71d7b6d,5,5,5,M,43,Pretto Triatlhon / Dbartelle Engenharia,00:46:48.393
10KM,10KM - ATE 59 ANOS - MASCULINO,452,c436d5afd6e11af31474272a3faaf82ac0b1abb6,da39a3ee5e6b4b0d3255bfef95601890afd80709,12,9,9,M,37,TENISCERTO,00:56:20.496
10KM,10KM - ATE 59 ANOS - MASCULINO,453,9557213bb9589625f05cab1beb5283f489ce9d46,d44ad8a1508e38c3abc5c1d145a67b74ee65a3b7,227,32,120,M,54,Green Team,02:17:01.799
10KM,10KM - ATE 59 ANOS - MASCULINO,454,d93059e315d24618203f1037c9adacc41d346db2,b646a751a0850e9074e7a44ff5ba8e3ce31eb738,189,31,98,M,37,,01:58:31.616
10KM,10KM - ATE 59 ANOS - MASCULINO,455,4a39f7eb2cf19323e70f68055bd56aeb7bbbd8e2,39308642d509ebe52ef44946c6a4fa8a6350e114,109,19,61,M,41,Olympikus,01:29:17.252
10KM,10KM - ATE 59 ANOS - MASCULINO,457,7eef2f6fafdaaf4780f92b61a7ea1742bb326262,51b130c7b2d4504c0a61466d6cc0292d3337e6f8,2,2,2,M,26,,00:41:35.202
10KM,10KM - ATE 59 ANOS - MASCULINO,458,0531a30b10b70543d163df92486c1d290cf653ac,dc1d9b48abfd62029dee80fe4b3737f03eebec63,115,21,64,M,27,,01:31:06.004
10KM,10KM - ATE 59 ANOS - MASCULINO,459,8d6c88cf704599d7b8ad324c4b1d336a3f00a0f5,26e93af8bc748f423d69c74da54fef8600d262c4,31,25,26,M,39,Green Team,01:07:50.174
10KM,10KM - ATE 59 ANOS - MASCULINO,460,e04faf0d63ad481651edc3e9ab9d8511f8b391dd,362084c4aca3d2a118fd2bac521274c8c03762c2,1,1,1,M,26,Olympikus,00:40:41.537
10KM,10KM - ATE 59 ANOS - MASCULINO,461,c2f7fb39de6873a9736b8ab1ff7843ce276231ef,878fe2ffd7c9a1c3af3ed8ee55a39d74e8d6eb68,75,6,46,M,36,float,01:22:07.978
10KM,10KM - ATE 59 ANOS - MASCULINO,462,eddb18fb10bae82212b55896e8c18876d1f7b039,f5a438a27b5dd5403541e5525aa8912c83837a56,17,14,14,M,40,Green Team,01:00:10.482
10KM,10KM - ATE 59 ANOS - MASCULINO,463,a3bc3a0fab787db33ece38377415f74d3b5a2f6d,305b21da916aa2f0bb55242c70d1b3a08ccb3936,21,17,17,M,25,Luiz Henrique de Oliveira,01:02:54.382
10KM,10KM - ATE 59 ANOS - MASCULINO,464,110c1cd4f35e50bcaa04ff83e33970c459de434a,6de14693aa881af133a81aa44b1351fe6839027a,188,30,97,M,40,KALLAN,01:58:31.263
10KM,10KM - ATE 59 ANOS - MASCULINO,465,81ab0c19c725b378d44c37882c89eb86b6bf2aa0,9fd93f986ec6b317bacb27e069a923cea3c61849,134,26,71,M,53,Olympikus - Comercial,01:35:17.544
10KM,10KM - ATE 59 ANOS - MASCULINO,466,b23dc869eaa870cd09732df156edaea55e4a3bd7,f44cfc8518b05bdc9b0ec2c4c752b887c0697534,73,5,45,M,33,,01:21:30.088
